Species;Common;IUIS Allergen;Type;Group;Allergenicity;Length;Accession;GI#;1st Version
Salvelinus fontinalis;Brook trout;Unassigned;Food Animal;Salvelinus parvalbumin;IgE but no biological test;108;CAX32967.1;288557440;11
Sardinops sagax;South American pilchard;Sar sa 1.0101;Food Animal;Sardinops Sar sa 1 parvalbumin;IgE but no biological test;109;CAQ68366.1;193247972;10
Scapharca broughtonii;Clam;Unassigned;Food Animal;Scapharca tropomyosin;IgE but no biological test;284;BAH10151.1;219806592;10
Scomber japonicus;Chub mackerel;Sco j 1;Food Animal;Scomber Parvalbumin Sco s 1;IgE but no biological test;109;BAC66618.1;29420793;7
Scomber scombrus;Atlantic mackerel;Sco s 1.0101;Food Animal;Scomber Parvalbumin Sco s 1;IgE but no biological test;109;CAX32965.1;288557436;11
Scylla paramamosain;green mud crab;Scy p 2.0101;Food Animal;Scylla arginine kinase Scy p 2;IgE but no biological test;357;AFA45340.1;375298903;13
Scylla paramamosain;green mud crab;Scy p 4.0101;Food Animal;Scylla paramamosain Scy p 4 Sarc Ca Binding Ptn;IgE but no biological test;193;AFJ80778.1;387571563;18
Scylla paramamosain;green mud crab;Scy p 8.0101;Food Animal;Scylla paramamosain Triosphosphate Isomerase;IgE but no biological test;248;APP94292.1;1122816254;18
Scylla serrata;giant mud crab;Unassigned;Food Animal;Scylla sp. (mud crab) tropomyosin;IgE but no biological test;284;ABS12233.1;151505279;9
Sebastes marinus;ocean perch (red fish);Seb m 1.0101;Food Animal;Sebastes Seb m 1;IgE but no biological test;109;CAQ72968.1;242253959;11
Sebastes marinus;ocean perch (red fish);Seb m 1.0201;Food Animal;Sebastes Seb m 1;IgE but no biological test;110;CAQ72969.1;242253961;11
Sepia esculenta;cuttlefish;Unassigned;Food Animal;Sepia tropomyosin;IgE but no biological test;284;BAE54429.1;83715928;7
Sepioteuthis lessoniana;bigfin reef squid;Unassigned;Food Animal;Sepioteuthis tropomyosin;IgE but no biological test;284;BAE54430.1;83715930;7
Sinonovacula constricta;Chinese razor clam;Unassigned;Food Animal;Sinonovacula tropomyosin [Song paper];IgE but no biological test;284;ABU53681.1;156145810;15
Solen strictus;Gould's razor shell;Unassigned;Food Animal;Solen tropomyosin;IgE but no biological test;284;BAH10156.1;219806602;10
Theragra chalcogramma;Alaska pollock;Unassigned;Food Animal;Theragra parvalbumin;IgE plus basophil+ or SPT+;109;AAK63089.1;14531020;7
Theragra chalcogramma;Alaska pollock;Unassigned;Food Animal;Theragra parvalbumin;IgE plus basophil+ or SPT+;109;AAK63088.1;14531018;7
Thunnus albacares;Yellowfin tuna;Unassigned;Food Animal;Thunnus Thu a 2 enolase;IgE plus basophil+ or SPT+;12;P86978.1;576011132;15
Thunnus albacares;Yellowfin tuna;Thu a 2.0101;Food Animal;Thunnus Thu a 2 enolase;IgE plus basophil+ or SPT+;432;I0J1J1.1;576011129;15
Thunnus albacares;Yellowfin tuna;Unassigned;Food Animal;Thunnus Thu a 3 aldolase;IgE plus basophil+ or SPT+;364;CAX62602.1;291195949;12
Thunnus albacares;Yellowfin tuna;Thu a 3.0101;Food Animal;Thunnus Thu a 3 aldolase;IgE plus basophil+ or SPT+;37;P86979.1;576011088;15
Todarodes pacificus;Japanese flying squid;Unassigned;Food Animal;Todarodes Tod p 1;IgE but no biological test;284;BAE54431.1;83715932;7
Trachurus japonicus;Japanese horse mackerel;Unassigned;Food Animal;Trachurus parvalbumin;IgE but no biological test;107;BAE46763.1;77799800;7
Tresus keenae;clam;Unassigned;Food Animal;Tresus tropomyosin;IgE but no biological test;284;BAH10155.1;219806600;10
Venerupis philippinarum;Clam;Unassigned;Food Animal;Venerupis tropomyosin;IgE but no biological test;284;BAH10157.1;219806573;10
Xiphias gladius;Swordfish;Xip g 1.0101;Food Animal;Xiphias Xip g 1 beta-parvalbumin;IgE but no biological test;109;CAR48256.1;222352960;10
Coprinus comatus;Shaggy mane;Cop c 1.0101;Food Fungi;Coprinus Cop c 1;IgE but no biological test;81;CAB39376.1;4538529;7
Actinidia arguta;Hardy Kiwi;Unassigned;Food Plant;Actinidia arguta kiwellin;IgE but no biological test;213;AGC39172.1;441482362;14
Actinidia arguta;Hardy Kiwi;Unassigned;Food Plant;Actinidia arguta kiwellin;IgE but no biological test;213;AGC39173.1;441482364;14
Actinidia arguta;Hardy Kiwi;Unassigned;Food Plant;Actinidia arguta kiwellin;IgE but no biological test;213;AGC39174.1;441482366;14
Actinidia chinensis;Kiwi;Unassigned;Food Plant;Actinidia Act c 1 Act d 1 Actinidin;IgE plus basophil+ or SPT+;380;P00785.4;190358935;9
Actinidia chinensis;Kiwi;Act c 10;Food Plant;Actinidia Act c 10 LTP;IgE plus basophil+ or SPT+;15;P85204.1;378548410;13
Actinidia chinensis;Kiwi;Act c 5.0102;Food Plant;Actinidia Act c 5 kiwellin;IgE but no biological test;213;AGC39168.1;441482354;14
Actinidia chinensis;Kiwi;Act c 8.0101;Food Plant;Actinidia Act c 8 Act d 8 PR-10;IgE but no biological test;159;CAM31908.1;281552896;11
Actinidia chinensis;Kiwi;Act d 12.0102;Food Plant;Actinidia Act d 12;IgE plus basophil+ or SPT+;462;ABB77213.1;82469930;16
Actinidia chinensis;Kiwi;Unassigned;Food Plant;Actinidia Act d 2 thaumatin like protein;IgE plus basophil+ or SPT+;20;P83958.1;68064399;7
Actinidia chinensis;Kiwi;Unassigned;Food Plant;Actinidia Act d 2 thaumatin like protein;IgE plus basophil+ or SPT+;225;AGC39176.1;441482370;14
Actinidia deliciosa;Kiwi;Act d 1.0101;Food Plant;Actinidia Act c 1 Act d 1 Actinidin;IgE plus basophil+ or SPT+;380;CAA34486.1;15984;7
Actinidia deliciosa;Kiwi;Unassigned;Food Plant;Actinidia Act c 1 Act d 1 Actinidin;IgE plus basophil+ or SPT+;380;AAA32629.1;166317;7
Actinidia deliciosa;Kiwi;Unassigned;Food Plant;Actinidia Act c 1 Act d 1 Actinidin;IgE plus basophil+ or SPT+;380;A5HII1.1;193806686;12
Actinidia deliciosa;Kiwi;Act d 8.0101;Food Plant;Actinidia Act c 8 Act d 8 PR-10;IgE but no biological test;157;CAM31909.1;281552898;11
Actinidia deliciosa;Kiwi;Act d 10.0201;Food Plant;Actinidia Act d 10 LTP;IgE plus basophil+ or SPT+;92;P85206.1;378548411;13
Actinidia deliciosa;Kiwi;Act d 10.0101;Food Plant;Actinidia Act d 10 LTP;IgE plus basophil+ or SPT+;92;P86137.2;378405189;13
Actinidia deliciosa;Kiwi;Act d 11.0101;Food Plant;Actinidia Act d 11 Kirola MLP;IgE but no biological test;150;P85524.1;332319679;12
Actinidia deliciosa;Kiwi;Act d 2.0101;Food Plant;Actinidia Act d 2 thaumatin like protein;IgE plus basophil+ or SPT+;225;CAI38795.2;71057064;7
Actinidia deliciosa;Kiwi;Unassigned;Food Plant;Actinidia Act d 2 thaumatin like protein;IgE plus basophil+ or SPT+;201;ABQ42566.1;146737976;9
Actinidia deliciosa;Kiwi;Act d 4.0101;Food Plant;Actinidia Act d 4 Phytocystatin;IgE plus basophil+ or SPT+;116;AAR92223.1;40807635;7
Actinidia deliciosa;Kiwi;Act d 5.0101;Food Plant;Actinidia Act d 5 kiwellin;IgE but no biological test;189;P84527.1;85701136;7
Actinidia deliciosa;Kiwi;Unassigned;Food Plant;Actinidia Act d 5 kiwellin;IgE but no biological test;213;AGC39164.1;441482346;14
Actinidia deliciosa;Kiwi;Unassigned;Food Plant;Actinidia Act d 5 kiwellin;IgE but no biological test;213;AGC39165.1;441482348;14
Actinidia deliciosa;Kiwi;Unassigned;Food Plant;Actinidia Act d 5 kiwellin;IgE but no biological test;213;AGC39166.1;441482350;14
Actinidia deliciosa;Kiwi;Unassigned;Food Plant;Actinidia Act d 5 kiwellin;IgE but no biological test;213;AGC39167.1;441482352;14
Actinidia deliciosa;Kiwi;Unassigned;Food Plant;Actinidia Act d 5 kiwellin;IgE but no biological test;189;4X9U_B;906848988;17
Actinidia eriantha;Climber (plant);Unassigned;Food Plant;Actinidia eriantha kiwellin;IgE but no biological test;213;AGC39169.1;441482356;14
Actinidia eriantha;Climber (plant);Unassigned;Food Plant;Actinidia eriantha kiwellin;IgE but no biological test;213;AGC39170.1;441482358;14
Actinidia eriantha;Climber (plant);Unassigned;Food Plant;Actinidia eriantha kiwellin;IgE but no biological test;213;AGC39171.1;441482360;14
Anacardium occidentale;Cashew;Ana 0 1.0102;Food Plant;Anacardium Ana o 1;IgE plus basophil+ or SPT+;536;AAM73729.1;21666498;7
Anacardium occidentale;Cashew;Ana 0 1.0101;Food Plant;Anacardium Ana o 1;IgE plus basophil+ or SPT+;538;AAM73730.2;21914823;7
Anacardium occidentale;Cashew;Ana o 2.0101;Food Plant;Anacardium Ana o 2;IgE plus basophil+ or SPT+;457;AAN76862.1;25991543;7
Anacardium occidentale;Cashew;Ana o 3.0101;Food Plant;Anacardium Ana o 3;IgE but no biological test;138;AAL91665.1;24473800;7
Ananas comosus;Pineapple;Ana c 1.0101;Food Plant;Ananas profilin Ana c 1;IgE but no biological test;131;Q94JN2.1;75306610;10
Apium graveolens;Celery;Api g 1.0101;Food Plant;Apium Api g 1;IgE plus basophil+ or SPT+;154;P49372.1;1346568;7
Apium graveolens;Celery;Api g 1.0201;Food Plant;Apium Api g 1;IgE plus basophil+ or SPT+;159;P92918.1;14423646;9
Apium graveolens;Celery;Api g 2.0101;Food Plant;Apium Api g 2;IgE plus basophil+ or SPT+;118;ACV04796.1;256600126;12
Apium graveolens;Celery;Api g 4.0101;Food Plant;Apium Api g 4;IgE plus basophil+ or SPT+;134;AAD29409.1;4761578;7
Apium graveolens;Celery;Api g 5.0101;Food Plant;Apium Api g 5;IgE but no biological test;86;P81943.3;33300920;10
Apium graveolens Rapaceum Group;Celery;Api g 6.0101;Food Plant;Apium graveolens Api g 6  LTP 2;IgE but no biological test;67;P86809.1;550540827;15
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Agglutinin (lectin);IgE but no biological test;273;AAB22817.1;253289;7
Arachis hypogaea;Peanut;Ara h 1;Food Plant;Arachis Ara h 1;IgE plus basophil+ or SPT+;614;P43237.1;1168390;7
Arachis hypogaea;Peanut;Ara h 1.0101;Food Plant;Arachis Ara h 1;IgE plus basophil+ or SPT+;626;P43238.1;1168391;7
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 1;IgE plus basophil+ or SPT+;299;AAT00595.1;46560474;7
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 1;IgE plus basophil+ or SPT+;303;AAT00594.1;46560472;7
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 1;IgE plus basophil+ or SPT+;428;AAT00596.1;46560476;7
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 1;IgE plus basophil+ or SPT+;619;ADQ53858.1;312233063;12
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 1;IgE plus basophil+ or SPT+;418;3SMH_A;375332427;13
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 1;IgE plus basophil+ or SPT+;418;3S7E_A;347447588;13
Arachis hypogaea;Peanut;Ara h 2.0201;Food Plant;Arachis Ara h 2;IgE plus basophil+ or SPT+;172;AAN77576.1;26245447;7
Arachis hypogaea;Peanut;Ara a 2;Food Plant;Arachis Ara h 2;IgE plus basophil+ or SPT+;169;AAM78596.1;31322017;7
Arachis hypogaea;Peanut;Ara h 2.0101;Food Plant;Arachis Ara h 2;IgE plus basophil+ or SPT+;156;AAK96887.1;15418705;10
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 2;IgE plus basophil+ or SPT+;158;ACN62248.1;224747150;10
Arachis hypogaea;Peanut;Ara h 3.0101;Food Plant;Arachis Ara h 3 Glycinin;IgE plus basophil+ or SPT+;507;AAC63045.1;3703107;7
Arachis hypogaea;Peanut;Ara h 3.0201;Food Plant;Arachis Ara h 3 Glycinin;IgE plus basophil+ or SPT+;530;AAD47382.1;5712199;7
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 3 Glycinin;IgE plus basophil+ or SPT+;538;AAM46958.1;21314465;7
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 3 Glycinin;IgE plus basophil+ or SPT+;219;AAM93157.1;22135348;7
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 3 Glycinin;IgE plus basophil+ or SPT+;512;ABI17154.1;112380623;8
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 3 Glycinin;IgE plus basophil+ or SPT+;530;ACH91862.1;199732457;10
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 3 Glycinin;IgE plus basophil+ or SPT+;510;3C3V_A;224036293;10
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 3 Glycinin;IgE plus basophil+ or SPT+;512;ADQ53859.1;312233065;12
Arachis hypogaea;Peanut;Ara h 5.0101;Food Plant;Arachis Ara h 5;IgE plus basophil+ or SPT+;131;AAD55587.1;5902968;7
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 5;IgE plus basophil+ or SPT+;131;ADB96066.1;284810529;11
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 5;IgE plus basophil+ or SPT+;131;AGA84056.1;431812555;14
Arachis hypogaea;Peanut;Ara h 6.0101;Food Plant;Arachis Ara h 6;IgE plus basophil+ or SPT+;129;AAD56337.1;5923742;7
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 6;IgE plus basophil+ or SPT+;144;AAL37561.1;17225991;7
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 6;IgE plus basophil+ or SPT+;127;1W2Q_A;159163254;9
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 6;IgE plus basophil+ or SPT+;145;Q647G9.1;75114094;10
Arachis hypogaea;Peanut;Ara h 7.0201;Food Plant;Arachis Ara h 7;IgE but no biological test;164;ABW17159.1;158121995;10
Arachis hypogaea;Peanut;Ara h 8.0101;Food Plant;Arachis Ara h 8;IgE plus basophil+ or SPT+;157;AAQ91847.1;37499626;7
Arachis hypogaea;Peanut;Ara h 8.0201;Food Plant;Arachis Ara h 8;IgE plus basophil+ or SPT+;153;ABP97433.1;145904610;9
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 8;IgE plus basophil+ or SPT+;157;ACA79908.1;169786740;9
Arachis hypogaea;Peanut;Unassigned;Food Plant;Arachis Ara h 8;IgE plus basophil+ or SPT+;157;ABG85155.1;110676574;12
Arachis hypogaea;Peanut;Ara h 9.0101;Food Plant;Arachis Ara h 9  LTP isoallergens;IgE but no biological test;116;ABX56711.1;161087230;10
Arachis hypogaea;Peanut;Ara h 9.0201;Food Plant;Arachis Ara h 9  LTP isoallergens;IgE but no biological test;92;ABX75045.1;161610580;10
Arachis hypogaea;Peanut;Ara h 10.0101;Food Plant;Arachis hypogaea Ara h 10;IgE but no biological test;169;AAU21499.2;113200509;15
Arachis hypogaea;Peanut;Ara h 10.0102;Food Plant;Arachis hypogaea Ara h 10;IgE but no biological test;150;AAU21500.1;52001239;15
Arachis hypogaea;Peanut;Ara h 11.0101;Food Plant;Arachis hypogaea Ara h 11;IgE but no biological test;137;AAZ20276.1;71040655;15
Arachis hypogaea;Peanut;Ara h 11.0102;Food Plant;Arachis hypogaea Ara h 11;IgE but no biological test;137;Q45W86;122218540;16
Bertholletia excelsa;Brazil nut;Ber e 1.0101;Food Plant;Bertholletia Ber e 1;IgE plus basophil+ or SPT+;146;P04403.2;112754;7
Bertholletia excelsa;Brazil nut;Ber e 2.0101;Food Plant;Bertholletia Ber e 2;IgE but no biological test;465;AAO38859.1;30313867;7
Brassica juncea;Mustard;Bra j 1.0101;Food Plant;Brassica Bra j 1 2S albumin;IgE but no biological test;129;P80207.1;32363444;9
Brassica napus;Rape;Bra n 1.0101;Food Plant;Bra n 1;IgE but no biological test;125;P80208.1;75107016;9
Brassica napus;Rape;Unassigned;Food Plant;Brassica napus 2S albumin;IgE but no biological test;109;AAN86249.1;26985163;7
Brassica rapa;Turnip;Bra r 1.0101;Food Plant;Brassica Bra r 1;IgE but no biological test;178;CAA46782.1;17697;9
Brassica rapa;Turnip;Bra r 5.0101;Food Plant;Brassica Calcim binding protein Group I;IgE but no biological test;79;BAA09634.1;1255540;15
Capsicum annuum;Bell pepper;Cap a 1.0101;Food Plant;Capsicum Cap a 1;IgE but no biological test;246;CAC34055.2;16609959;7
Capsicum annuum;Bell pepper;Cap a 2.0101;Food Plant;Capsicum Cap a 2;IgE but no biological test;131;CAD10376.1;16555785;7
Carica papaya;Papaya;Cari p 1.0101;Food Plant;Cari p 1.0101 endo polygalacturonase;IgE plus basophil+ or SPT+;494;ACV85695.1;258640138;18
Carya illinoinensis;Pecan;Car i 1.0101;Food Plant;Carya Car i 1 Seed storage protein;IgE but no biological test;143;AAO32314.1;28207731;7
Carya illinoinensis;Pecan;Car i 4.0101;Food Plant;Carya Car i 4 11s legumin;IgE but no biological test;505;ABW86978.1;158998780;14
Carya illinoinensis;Pecan;Unassigned;Food Plant;Carya Car i 4 11s legumin;IgE but no biological test;505;ABW86979.1;158998782;14
Carya illinoinensis;Pecan;Car i 2.0101;Food Plant;Carya i Car i 2.0101 vicilin;IgE but no biological test;792;ABV49590.1;157384600;15
Carya illinoinensis;Pecan;;Food Plant;Carya i Car i 2.0101 vicilin;IgE but no biological test;426;5E1R_F;1052244924;18
Castanea sativa;European chestnut;Cas s 5.0101;Food Plant;Castanea Cas s 5;IgE plus basophil+ or SPT+;316;CAA64868.1;1359600;7
Castanea sativa;European chestnut;Unassigned;Food Plant;Castanea Cas s 5;IgE plus basophil+ or SPT+;298;ADN39439.1;307159110;12
Citrullus lanatus;;Citr l 2.0101;Food Plant;Citrullus lanatus Citr l 2;IgE plus basophil+ or SPT+;131;AAU43733.1;52352489;17
Citrus limon;Lemon;Cit l 3.0101;Food Plant;Citrus LTP Cit s 3/Cit l 3;IgE plus basophil+ or SPT+;20;P84160.1;52783176;7
Citrus sinensis;Navel orange;Cit s 1.0101;Food Plant;Citrus Cit s 1;IgE plus basophil+ or SPT+;25;P84159.1;52782810;7
Citrus sinensis;Navel orange;Cit s 2.0101;Food Plant;Citrus Cit s 2;IgE plus basophil+ or SPT+;131;CAI23765.1;56000996;7
Citrus sinensis;Navel orange;Cit s 3.0101;Food Plant;Citrus LTP Cit s 3/Cit l 3;IgE plus basophil+ or SPT+;20;P84161.1;52783177;7
Citrus sinensis;Navel orange;Cit s 3.0102;Food Plant;Citrus LTP Cit s 3/Cit l 3;IgE plus basophil+ or SPT+;91;CAH03799.1;50199132;7
Coffea arabica;Coffee;Cof a 3.0101;Food Plant;Coffea  Cof a 3;IgE but no biological test;65;AGL34968.1;494319676;15
Coffea arabica;Coffee;Cof a 1.0101;Food Plant;Coffea Cof a 1;IgE but no biological test;263;ADH10372.1;296399179;15
Coffea arabica;Coffee;Cof a 2.0101;Food Plant;Coffea Cof a 2;IgE but no biological test;80;AGL34967.1;494319674;15
Corylus avellana;European hazelnut;Cor a 1.0401;Food Plant;Corylus Cor a 1;IgE plus basophil+ or SPT+;161;AAD48405.1;5726304;7
Corylus avellana;European hazelnut;Cor a 1.0402;Food Plant;Corylus Cor a 1;IgE plus basophil+ or SPT+;161;AAG40329.1;11762102;7
Corylus avellana;European hazelnut;Cor a 1.0403;Food Plant;Corylus Cor a 1;IgE plus basophil+ or SPT+;161;AAG40330.1;11762104;7
Corylus avellana;European hazelnut;Cor a 1.0404;Food Plant;Corylus Cor a 1;IgE plus basophil+ or SPT+;161;AAG40331.1;11762106;7
Corylus avellana;European hazelnut;Cor a 1.0101;Food Plant;Corylus Cor a 1;IgE plus basophil+ or SPT+;160;CAA50327.1;22688;15
Corylus avellana;European hazelnut;Cor a 11.0101;Food Plant;Corylus Cor a 11;IgE plus basophil+ or SPT+;448;AAL86739.1;19338630;7
Corylus avellana;European hazelnut;Cor a 12.0101;Food Plant;Corylus Cor a 12;IgE plus basophil+ or SPT+;159;AAO67349.2;49617323;15
Corylus avellana;European hazelnut;Cor a 13.0101;Food Plant;Corylus Cor a 13 Oleosin;IgE but no biological test;140;AAO65960.1;29170509;7
Corylus avellana;European hazelnut;Cor a 14.0101;Food Plant;Corylus Cor a 14 2S albumin;IgE plus basophil+ or SPT+;147;ACO56333.1;226437844;11
Corylus avellana;European hazelnut;Unassigned;Food Plant;Corylus Cor a 2 profilins;IgE but no biological test;131;A4KA41.1;576017879;15
Corylus avellana;European hazelnut;Unassigned;Food Plant;Corylus Cor a 2 profilins;IgE but no biological test;133;A4KA40.1;576017878;15
Corylus avellana;European hazelnut;Unassigned;Food Plant;Corylus Cor a 2 profilins;IgE but no biological test;133;A4KA44.1;576017819;15
Corylus avellana;European hazelnut;Unassigned;Food Plant;Corylus Cor a 2 profilins;IgE but no biological test;131;A4KA43.1;576017779;15
Corylus avellana;European hazelnut;Unassigned;Food Plant;Corylus Cor a 2 profilins;IgE but no biological test;133;A4KA45.1;576017777;15
Corylus avellana;European hazelnut;Unassigned;Food Plant;Corylus Cor a 2 profilins;IgE but no biological test;133;A4KA39.1;576017776;15
Corylus avellana;European hazelnut;Cor a 8.0101;Food Plant;Corylus Cor a 8;IgE but no biological test;115;AAK28533.1;13507262;7
Corylus avellana;European hazelnut;Cor 1 9.0101;Food Plant;Corylus Cor a 9;IgE plus basophil+ or SPT+;515;AAL73404.1;18479082;7
Cucumis melo;Muskmelon;Cuc m 1.0101;Food Plant;Cucumis Cuc m 1;IgE but no biological test;731;BAA06905.1;807698;7
Cucumis melo;Muskmelon;Unassigned;Food Plant;Cucumis Cuc m 2;IgE plus basophil+ or SPT+;131;CAD92666.1;31559374;7
Cucumis melo;Muskmelon;Cuc m 2.0101;Food Plant;Cucumis Cuc m 2;IgE plus basophil+ or SPT+;131;AAW69549.1;58263793;7
